"Term","Term Description","Session","Class","Subject","Catalog Nbr","Section","Class Nbr","Component","Description","Academic Organization","Location Code","Instruction Mode","Enrollment Total","Enrollment Capacity","Wait List Total","List of Students"
"2268","Fall 2026","1","CASAH 505E WP","CASAH","505E","WP","3075","IND","Internship in Art/Architecture","SAB","EXTENSION","P","0","25","0","List of Students"
"2268","Fall 2026","1","CASAH 520 A1","CASAH","520","A1","3077","IND","Museum & the Historical Agency","CASAH","CHARLESRIV","P","14","14","1","List of Students"
"2268","Fall 2026","1","CASAH 527 A1","CASAH","527","A1","6397","IND","Topics in Art and Society","CASAH","CHARLESRIV","P","5","14","0","List of Students"
"2268","Fall 2026","1","CASAH 527 B1","CASAH","527","B1","15989","IND","Topics in Art and Society","CASAH","CHARLESRIV","P","10","14","1","List of Students"
"2268","Fall 2026","1","CASAH 527 C1","CASAH","527","C1","16107","IND","Topics in Art and Society","CASAH","CHARLESRIV","P","9","14","0","List of Students"
"2268","Fall 2026","1","CASAH 533 A1","CASAH","533","A1","7025","IND","Seminar: Greek Art & Architect","CASAH","CHARLESRIV","P","10","10","1","List of Students"
"2268","Fall 2026","1","CASAH 543 A1","CASAH","543","A1","15990","IND","Latin American Art: Cold War","CASAH","CHARLESRIV","P","8","14","0","List of Students"
"2268","Fall 2026","1","CASAH 546 A1","CASAH","546","A1","3078","IND","Historic Preservation Theory","CASAH","CHARLESRIV","P","1","3","0","List of Students"
"2268","Fall 2026","1","CASAH 548 A1","CASAH","548","A1","3079","IND","Global Heritage Conservation","CASAH","CHARLESRIV","P","6","7","1","List of Students"
"2268","Fall 2026","1","CASAH 554 A1","CASAH","554","A1","7026","IND","Boston Architectural Workshop","CASAH","CHARLESRIV","P","3","3","0","List of Students"
"2268","Fall 2026","1","CASAH 557 A1","CASAH","557","A1","6316","IND","Renaissance & Mannerist Art","CASAH","CHARLESRIV","P","14","14","0","List of Students"
"2268","Fall 2026","1","CASAH 571 A1","CASAH","571","A1","6317","IND","Art of African Diaspora","CASAH","CHARLESRIV","P","0","7","0","List of Students"
"2268","Fall 2026","1","CASAH 571 B1","CASAH","571","B1","17890","IND","Art of African Diaspora","CASAH","CHARLESRIV","P","5","7","0","List of Students"
"2268","Fall 2026","1","CASAH 582 A1","CASAH","582","A1","15991","IND","Historic Houses","CASAH","CHARLESRIV","P","14","14","1","List of Students"
"2268","Fall 2026","1","CASAH 791 A1","CASAH","791","A1","15993","IND","Colloq: Contemp Art & Globaliz","CASAH","CHARLESRIV","P","6","14","0","List of Students"
"2268","Fall 2026","1","CASAH 863 A1","CASAH","863","A1","11940","IND","Seminar: Baroque Art/Architect","CASAH","CHARLESRIV","P","9","14","0","List of Students"
"2268","Fall 2026","1","CASAH 867 A1","CASAH","867","A1","16128","IND","Material Culture","CASAH","CHARLESRIV","P","8","10","0","List of Students"
"2268","Fall 2026","1","CASAH 901 A1","CASAH","901","A1","18435","DRS","Directed Studies","CASAH","CHARLESRIV","P","0","1","0","List of Students"
"2268","Fall 2026","1","CASAH 981 X1","CASAH","981","X1","11044","OTH","CERT FT STUDY","CASAH","CHARLESRIV","P","0","999","0","List of Students"
"2268","Fall 2026","1","CASAH 983 X1","CASAH","983","X1","11045","OTH","Continuing Study Part-Time","CASAH","CHARLESRIV","P","0","999","0","List of Students"
"2268","Fall 2026","1","CASAH 985 X1","CASAH","985","X1","11046","OTH","Continuing Study Full-Time","CASAH","CHARLESRIV","P","25","999","0","List of Students"
"2268","Fall 2026","1","CASAK 300E AK","CASAK","300E","AK","3080","IND","International Course","SAB","NEWZEALAND","P","0","20","0","List of Students"
"2268","Fall 2026","1","CASAK 301E AK","CASAK","301E","AK","3081","IND","International Course","SAB","NEWZEALAND","P","0","20","0","List of Students"
"2268","Fall 2026","1","CASAK 302E AK","CASAK","302E","AK","3082","IND","International Course","SAB","NEWZEALAND","P","0","20","0","List of Students"
"2268","Fall 2026","1","CASAK 303E AK","CASAK","303E","AK","3083","IND","International Course","SAB","NEWZEALAND","P","0","20","0","List of Students"
"2268","Fall 2026","1","CASAK 304E AK","CASAK","304E","AK","3084","IND","International Course","SAB","NEWZEALAND","P","0","20","0","List of Students"
"2268","Fall 2026","1","CASAK 305E AK","CASAK","305E","AK","3085","IND","International Course","SAB","NEWZEALAND","P","0","20","0","List of Students"
"2268","Fall 2026","1","CASAK 306E AK","CASAK","306E","AK","3086","IND","International Course","SAB","NEWZEALAND","P","0","20","0","List of Students"
"2268","Fall 2026","1","CASAK 307E AK","CASAK","307E","AK","3087","IND","International Course","SAB","NEWZEALAND","P","0","20","0","List of Students"
"2268","Fall 2026","1","CASAK 308E AK","CASAK","308E","AK","3088","IND","International Course","SAB","NEWZEALAND","P","0","20","0","List of Students"
"2268","Fall 2026","1","CASAK 309E AK","CASAK","309E","AK","3089","IND","International Course","SAB","NEWZEALAND","P","0","20","0","List of Students"
"2268","Fall 2026","1","CASAK 310E AK","CASAK","310E","AK","3090","IND","International Course","SAB","NEWZEALAND","P","0","20","0","List of Students"
"2268","Fall 2026","1","CASAK 311E AK","CASAK","311E","AK","3091","IND","International Course","SAB","NEWZEALAND","P","0","20","0","List of Students"
